x,y
651,399
652,404
655,405
654,406
660,411
663,411
665,413
669,417
672,422
659,460
659,463
658,471
654,479
653,479
651,478
650,477
648,480
648,479
646,480
644,477
640,479
640,482
636,483
628,493
622,492
608,497
604,494
601,492
596,491
601,476
595,473
593,472
587,468
569,476
560,476
555,476
553,476
562,471
562,471
574,459
572,460
572,455
567,447
561,434
561,431
559,427
561,426
567,429
569,430
567,431
567,429
571,432
575,430
582,430
590,430
600,428
609,429
614,428
620,431
622,440
627,441
633,439
639,437
649,427
667,391
670,392
673,392
674,399
675,402
679,411
683,415
683,420
690,427
691,431
692,437
696,442
697,446
698,448
701,450
701,447
702,451
701,451
698,454
693,456
688,459
685,461
681,464
678,469
675,468
673,469
671,469
667,472
667,472
665,464
662,467
643,498
639,502
634,518
627,524
622,523
615,520
619,502
611,496
607,490
600,486
583,500
574,499
569,498
562,493
576,482
568,482
565,484
565,481
561,477
560,478
556,472
546,462
538,455
537,455
524,448
520,448
522,448
524,448
545,435
548,433
552,427
566,388
574,380
574,374
575,379
580,383
552,409
552,406
550,405
552,404
555,404
558,405
564,405
584,374
590,377
592,378
612,365
614,367
618,368
620,368
617,375
617,377
615,379
586,410
580,412
576,418
567,429
569,440
565,450
565,463
576,468
577,470
579,469
586,474
594,478
605,487
618,500
634,520
649,550
668,565
685,573
696,573
716,568
728,559
739,546
750,534
761,515
761,494
765,477
767,464
767,453
760,450
747,438
737,432
722,434
707,428
701,408
686,408
681,392
668,377
639,375
620,375
604,375
589,377
591,378
583,387
574,400
569,408
568,417
565,420
562,416
575,462
588,460
599,459
609,473
621,477
633,481
653,478
663,487
676,489
684,489
684,480
686,468
689,451
691,440
687,427
697,393
691,391
660,380
642,372
632,369
618,367
603,363
592,366
580,373
569,376
561,380
552,384
554,395
555,409
545,411
548,412
558,429
570,436
579,422
596,470
607,479
614,488
613,500
619,500
638,493
648,494
655,502
663,503
662,489
658,479
648,463
657,446
663,435
666,431
673,405
658,397
643,389
642,375
635,371
627,372
620,379
615,382
613,381
608,383
606,391
605,392
590,411
595,412
600,410
587,438
600,440
606,445
609,441
629,398
632,401
634,402
636,403
630,413
628,416
626,418
625,420
625,420
625,421
625,421
625,423
624,422
625,423
626,422
626,424
627,426
629,429
629,430
628,431
627,431
628,433
629,433
632,431
632,429
632,432
